City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,urangan,-25.3,152.9,17.77,88,0,4.05,AU,1720617446
147,siping,43.1633,124.3686,22.34,62,8,2.68,CN,1720617447
148,coruripe,-10.1256,-36.1756,25.64,81,23,6.4,BR,1720617447
149,al-hamdaniya,36.2715,43.3737,43.57,10,0,3.55,IQ,1720617447
150,cidreira,-30.1811,-50.2056,11.26,90,100,2.1,BR,1720617447
151,tralee,52.2704,-9.7026,17.14,67,40,5.14,IE,1720617448
152,chengde,40.9725,117.9361,24.25,41,0,0.91,CN,1720617228
153,tatarsk,55.219,75.9828,22.95,67,88,4.23,RU,1720617448
154,whangarei,-35.7317,174.3239,7.86,91,2,0.78,NZ,1720617448
155,vadso,70.0744,29.7487,15.49,72,0,2.06,NO,1720617448
156,leninskoye,41.7589,69.3864,33.74,17,0,5.22,KZ,1720617448
157,ribeira grande,38.5167,-28.7,25.22,65,20,7.2,PT,1720617448
158,tiksi,71.6872,128.8694,14.61,52,93,1.21,RU,1720617449
159,el granada,37.5027,-122.4694,17.12,93,100,3.09,US,1720617449
160,boguchany,58.3814,97.4531,21.43,65,83,2.92,RU,1720617449
161,jiagedaqi,50.4167,124.1167,19.42,45,13,1.56,CN,1720617449
162,mariental,-24.6333,17.9667,26.85,6,0,6.6,,1720617449
163,tambura,5.6,27.4667,24.57,89,100,1.92,SS,1720617449
164,coquimbo,-29.9533,-71.3436,9.99,63,94,1.92,CL,1720617430
165,fale old settlement,-9.3852,-171.2468,28.51,70,12,7.21,TK,1720617450
166,olonkinbyen,70.9221,-8.7187,3.81,90,29,6.25,SJ,1720617450
167,capao da canoa,-29.7456,-50.0097,10.33,93,100,2.63,BR,1720617154
168,sabang,5.8933,95.3214,28.94,76,100,9.43,ID,1720617450
169,ixtapa,20.7,-105.2,24.57,94,100,3.6,MX,1720617450
170,el nido,11.1858,119.3956,27.19,84,100,3.55,PH,1720617451
171,barra de santo antonio,-9.4047,-35.5072,24.6,82,21,5.95,BR,1720617451
172,naze,28.3667,129.4833,27.51,86,100,5.28,JP,1720617451
173,sorokino,53.75,84.9167,19.9,78,0,2.6,RU,1720617451
174,kenai,60.5544,-151.2583,8.97,95,75,1.54,US,1720617451
175,timimoun,29.2639,0.231,47.21,5,0,10.29,DZ,1720617451
176,dudinka,69.4058,86.1778,22.41,53,60,4.06,RU,1720617452
177,nema,57.5067,50.5011,27.01,53,8,6.37,RU,1720617452
178,tekkali,18.6167,84.2333,28.9,75,100,3.92,IN,1720617452
179,invercargill,-46.4,168.35,2.23,95,8,0.45,NZ,1720617452
180,iranshahr,27.2025,60.6848,45.19,18,20,5.14,IR,1720617452
181,chichiriviche,10.9333,-68.2772,27.07,86,43,4.5,VE,1720617452
182,dalandzadgad,43.5708,104.425,23.51,42,100,2.75,MN,1720617452
183,kone,-21.0595,164.8658,21.16,83,38,2.86,NC,1720617453
184,oyem,1.5995,11.5793,25.35,69,98,0.81,GA,1720617453
185,sao joao da barra,-21.6403,-41.0511,25.05,83,0,2.09,BR,1720617453
186,morondava,-20.2833,44.2833,25.53,55,0,7.16,MG,1720617453
187,margaret river,-33.95,115.0667,13.19,61,79,4.71,AU,1720617453
188,rio grande,-32.035,-52.0986,9.06,88,100,4.5,BR,1720617453
189,oroquieta,8.4858,123.8044,25.44,94,100,1.76,PH,1720617454
190,niafunke,15.9322,-3.9906,35.01,38,99,4.66,ML,1720617454
191,cannonvale,-20.2833,148.7,20.66,88,16,4.7,AU,1720617454
192,lompoc,34.6391,-120.4579,13.12,96,100,2.06,US,1720617454
193,puerto armuelles,8.2833,-82.8667,26.16,82,90,3.13,PA,1720617454
194,ta`u,-14.2336,-169.5144,25.85,76,100,11.87,AS,1720617454
195,alice springs,-23.7,133.8833,9.75,76,0,0.0,AU,1720617454
196,al jawf,29.5,38.75,40.5,9,0,2.94,SA,1720617454
197,castillos,-34.1667,-53.8333,7.08,88,97,4.77,UY,1720617455
198,manggar,-2.8833,108.2667,27.64,78,69,4.6,ID,1720617455
199,fort bragg,35.139,-79.006,29.08,82,0,4.12,US,1720617455
200,ust'-kut,56.7938,105.7672,25.58,58,93,1.78,RU,1720617455
201,chilecito,-29.1619,-67.4974,-1.02,87,100,1.59,AR,1720617455
202,singaparna,-7.3515,108.111,22.17,99,100,1.31,ID,1720617456
203,katsuura,35.1333,140.3,26.02,89,100,12.69,JP,1720617456
204,arenapolis,-14.4503,-56.8461,18.02,58,0,2.14,BR,1720617456
205,carnarvon,-24.8667,113.6333,19.92,79,0,8.12,AU,1720617456
206,geraldton,-28.7667,114.6,14.23,77,75,2.06,AU,1720617456
207,fisterra,42.9049,-9.2629,21.53,98,100,5.8,ES,1720617456
208,malanje,-9.5402,16.341,29.99,7,11,2.83,AO,1720617457
209,az zuwaytinah,30.9522,20.1202,28.27,68,0,8.08,LY,1720617457
210,coahuayana de hidalgo,18.7,-103.6583,24.04,96,100,1.44,MX,1720617457
211,isiolo,0.3546,37.5822,26.23,49,100,7.79,KE,1720617457
212,mulanje,-16.0316,35.5,27.07,23,0,3.97,MW,1720617457
213,tacna,-18.0056,-70.2483,11.5,87,100,1.54,PE,1720617457
214,sitia,35.2,26.0986,27.26,70,0,5.11,GR,1720617458
215,opuwo,-18.0607,13.84,27.23,8,0,4.06,,1720617458
216,saiki,32.95,131.9,25.86,83,100,1.17,JP,1720617458
217,al ghayzah,16.2079,52.176,28.02,84,100,5.38,YE,1720617458
218,spanish springs,39.6491,-119.7074,20.22,39,0,1.54,US,1720617458
219,vilyuchinsk,52.9306,158.4028,13.15,96,100,0.45,RU,1720617458
220,tanjung pandan,-2.75,107.65,26.06,85,98,3.07,ID,1720617459
221,zeya,53.75,127.2667,14.79,92,30,1.17,RU,1720617459
222,glenwood springs,39.5505,-107.3248,15.59,48,0,2.14,US,1720617459
223,hammerfest,70.6634,23.6821,12.25,71,75,5.66,NO,1720617459
224,baharly,38.4362,57.4316,40.22,14,0,2.73,TM,1720617459
225,brookings,44.3114,-96.7984,19.54,95,20,0.0,US,1720617421
226,punta arenas,-53.15,-70.9167,3.06,65,0,8.75,CL,1720617204
227,pitimbu,-7.4706,-34.8086,27.33,74,89,6.15,BR,1720617162
228,huron,41.1501,-82.5499,24.67,89,100,6.21,US,1720617460
229,guerrero negro,27.9769,-114.0611,18.18,92,3,2.33,MX,1720617460
230,tazovsky,67.4667,78.7,17.67,52,14,5.03,RU,1720617460
231,afaahiti,-17.75,-149.2833,21.93,78,100,1.34,PF,1720617461
232,keflavik,64.0049,-22.5624,12.95,87,75,8.23,IS,1720617461
233,codajas,-3.8367,-62.0569,26.97,71,100,0.6,BR,1720617461
234,bandon,51.7469,-8.7425,19.77,55,2,6.57,IE,1720617461
235,nogliki,51.8333,143.1667,10.2,95,100,1.49,RU,1720617461
236,praia da vitoria,38.7333,-27.0667,26.14,61,20,7.79,PT,1720617462
237,egilsstadir,65.2653,-14.3948,20.95,43,0,4.63,IS,1720617462
238,leua,48.2156,18.6071,31.31,38,7,2.82,SK,1720617462
239,kashary,49.04,41.0056,35.42,18,63,5.87,RU,1720617462
240,cowra,-33.8333,148.6833,6.98,91,22,0.38,AU,1720617462
